ID,中文原文,英文译文,Reviewer,备注
T-0001,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0002,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0003,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0004,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0005,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0006,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0007,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0008,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0009,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0010,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0011,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0012,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0013,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0014,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0015,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0016,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
