ID,中文原文,英文译文,Reviewer,备注
T-0001,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0002,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0003,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0004,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0005,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0006,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0007,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0008,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0009,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0010,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0011,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0012,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0013,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0014,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0015,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0016,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0017,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0018,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0019,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0020,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0021,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0022,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0023,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0024,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0025,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0026,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0027,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0028,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0029,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0030,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0031,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0032,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0033,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0034,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0035,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0036,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0037,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0038,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0039,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0040,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0041,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0042,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0043,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0044,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0045,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0046,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0047,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0048,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0049,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0050,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0051,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0052,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0053,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0054,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0055,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0056,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
